Degree level completed,demographic,Year,Earnings
"Median annual earnings, all
   education levels",Mixed,2017,"$39,630"
"Median annual earnings, all
   education levels",Mixed,2018,"$43,160"
"Median annual earnings, all
   education levels",Mixed,2019,"$44,990"
Less than high school completion,Mixed,1995,---
Less than high school completion,Mixed,2000,---
Less than high school completion,Mixed,2005,‡
Less than high school completion,Mixed,2010,‡
Less than high school completion,Mixed,2013,‡
Less than high school completion,Mixed,2014,‡
Less than high school completion,Mixed,2015,‡
Less than high school completion,Mixed,2016,‡
Less than high school completion,Mixed,2017,‡
Less than high school completion,Mixed,2018,‡
Less than high school completion,Mixed,2019,‡
High school completion\1\,Mixed,1995,---
High school completion\1\,Mixed,2000,---
High school completion\1\,Mixed,2005,"34,320"
High school completion\1\,Mixed,2010,"34,980"
High school completion\1\,Mixed,2013,"37,180"
High school completion\1\,Mixed,2014,"29,240"
High school completion\1\,Mixed,2015,"37,530"
High school completion\1\,Mixed,2016,"34,620"
High school completion\1\,Mixed,2017,"34,820"
High school completion\1\,Mixed,2018,"37,260"
High school completion\1\,Mixed,2019,"27,870"
"Some college, no degree",Mixed,1995,---
"Some college, no degree",Mixed,2000,---
"Some college, no degree",Mixed,2005,"39,850"
"Some college, no degree",Mixed,2010,"41,310"
"Some college, no degree",Mixed,2013,"37,580"
"Some college, no degree",Mixed,2014,"27,910"
"Some college, no degree",Mixed,2015,"37,880"
"Some college, no degree",Mixed,2016,"35,370"
"Some college, no degree",Mixed,2017,"30,240"
"Some college, no degree",Mixed,2018,"31,960"
"Some college, no degree",Mixed,2019,"38,010"
Associate's degree,Mixed,1995,---
Associate's degree,Mixed,2000,---
Associate's degree,Mixed,2005,"49,770"
Associate's degree,Mixed,2010,"32,580"
Associate's degree,Mixed,2013,‡
Associate's degree,Mixed,2014,‡
Associate's degree,Mixed,2015,"46,960"
Associate's degree,Mixed,2016,"47,900"
Associate's degree,Mixed,2017,"42,120"
Associate's degree,Mixed,2018,‡
Associate's degree,Mixed,2019,‡
Bachelor's or higher degree,Mixed,1995,---
Bachelor's or higher degree,Mixed,2000,---
Bachelor's or higher degree,Mixed,2005,"58,210"
Bachelor's or higher degree,Mixed,2010,"49,630"
Bachelor's or higher degree,Mixed,2013,"59,630"
Bachelor's or higher degree,Mixed,2014,"54,000"
Bachelor's or higher degree,Mixed,2015,"50,770"
Bachelor's or higher degree,Mixed,2016,"60,710"
Bachelor's or higher degree,Mixed,2017,"52,660"
Bachelor's or higher degree,Mixed,2018,"55,580"
Bachelor's or higher degree,Mixed,2019,"59,990"
Bachelor's degree,Mixed,1995,---
Bachelor's degree,Mixed,2000,---
Bachelor's degree,Mixed,2005,"51,430"
Bachelor's degree,Mixed,2010,"46,240"
Bachelor's degree,Mixed,2013,"52,360"
Bachelor's degree,Mixed,2014,"48,910"
Bachelor's degree,Mixed,2015,"43,110"
Bachelor's degree,Mixed,2016,"52,790"
Bachelor's degree,Mixed,2017,"51,260"
Bachelor's degree,Mixed,2018,"50,900"
Bachelor's degree,Mixed,2019,"58,550"
Master's or higher degree,Mixed,1995,---
Master's or higher degree,Mixed,2000,---
Master's or higher degree,Mixed,2005,‡
Master's or higher degree,Mixed,2010,"77,160"
Master's or higher degree,Mixed,2013,‡
Master's or higher degree,Mixed,2014,‡
Master's or higher degree,Mixed,2015,‡
Master's or higher degree,Mixed,2016,"73,540"
Master's or higher degree,Mixed,2017,‡
Master's or higher degree,Mixed,2018,"67,000"
Master's or higher degree,Mixed,2019,‡
Pacific Islander\4\,Pacific Islander,1995,[\3\]
Pacific Islander\4\,Pacific Islander,2000,[\3\]
Pacific Islander\4\,Pacific Islander,2005,"$40,000"
Pacific Islander\4\,Pacific Islander,2010,"$40,170"
Pacific Islander\4\,Pacific Islander,2013,"$42,800"
Pacific Islander\4\,Pacific Islander,2014,"$36,990"
Pacific Islander\4\,Pacific Islander,2015,"$42,760"
Pacific Islander\4\,Pacific Islander,2016,"$36,480"
Pacific Islander\4\,Pacific Islander,2017,"$38,820"
Pacific Islander\4\,Pacific Islander,2018,"$35,970"
Pacific Islander\4\,Pacific Islander,2019,"$36,000"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,1995,"33,360"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2000,"37,100"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2005,"38,480"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2010,"37,220"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2013,"32,750"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2014,"32,330"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2015,"32,250"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2016,"38,250"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2017,"37,020"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2018,"34,380"
American Indian/Alaska Native\4\,American Indian/Alaskan Native,2019,"36,940"
