"Table 502.30. Median annual earnings of full-time year-round workers 25 to 34 years old and full-time year-round workers as a percentage of the labor force, by sex, race/ethnicity, and educational attainment: Selected
              years, 1995 through 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Less than high school completion ,‡,,(†),"26,740 ",,"(4,650)","35,640 ",,"(5,881)",‡,,(†),‡,,(†),"22,540 ",,"(1,944)","29,610 ",,"(6,795)","28,120 ",,"(3,873)",‡,#VALUE!,(†),‡,#VALUE!,(†),‡,#VALUE!,(†)
  High school completion\1\ ,"33,260 ",,"(3,449)","37,110 ",,"(1,916)","34,920 ",,"(2,467)","34,280 ",,"(1,799)","31,840 ",,"(2,982)","31,940 ",,"(1,983)","30,760 ",,(789),"31,020 ",,"(1,790)","34,950 ",,"(2,748)","34,180 ",,"(3,478)","29,250 ",,"(1,227)"
"  Some college, no degree ","31,930 ",,"(4,002)","41,550 ",,"(4,061)","38,920 ",,"(2,892)","40,880 ",,"(1,637)","36,930 ",,"(4,559)","32,020 ",,"(3,430)","37,000 ",,"(2,992)","36,950 ",,"(2,041)","34,620 ",,"(3,722)","38,820 ",,"(4,318)","34,000 ",,"(2,558)"
  Associate's degree ,"33,660 ",,"(3,027)","43,110 ",,"(2,363)","45,280 ",,"(3,678)","42,000 ",,"(2,947)","35,000 ",,"(3,363)","36,220 ",,"(4,209)","32,430 ",,"(2,813)","42,160 ",,"(4,185)","38,840 ",,"(2,298)","40,340 ",,"(6,007)","39,130 ",,"(5,848)"
  Bachelor's or higher degree ,"53,580 ",,"(1,594)","73,100 ",,"(1,860)","65,440 ",,(721),"70,140 ",,"(2,382)","65,620 ",,"(1,599)","64,800 ",,"(3,820)","74,550 ",,"(3,161)","73,640 ",,"(3,146)","72,510 ",,(849),"71,630 ",,"(2,801)","73,270 ",,"(2,942)"
    Bachelor's degree ,"50,140 ",,"(1,646)","65,990 ",,"(2,790)","65,190 ",,"(5,759)","60,530 ",,"(4,383)","63,660 ",,"(3,852)","60,320 ",,"(2,456)","67,780 ",,"(4,701)","63,560 ",,"(2,321)","67,600 ",,"(3,049)","62,690 ",,"(3,720)","59,910 ",,"(3,196)"
    Master's or higher degree ,"63,040 ",,"(14,326)","88,360 ",,"(6,687)","71,360 ",,"(5,151)","80,070 ",,"(5,770)","81,690 ",,"(6,143)","78,350 ",,"(4,686)","80,700 ",,"(6,795)","85,770 ",,"(6,044)","81,760 ",,"(4,725)","81,600 ",,"(2,413)","85,000 ",,"(4,648)"
"Percent,\2\ all education levels ",67.8,,(2.89),71.5,,(1.73),69.8,,(1.62),68.6,,(1.38),68.3,,(1.76),70.8,,(1.42),72.5,,(1.55),76.6,,(1.34),75.2,,(1.45),77.0,,(1.24),76.6,,(1.60)
  Less than high school completion ,51.7,,(10.00),66.1,,(8.09),65.1,,(7.36),50.0,,(11.09),58.5,,(8.64),56.0,,(8.09),75.3,,(7.33),77.8,,(7.12),‡,#VALUE!,(†),76.5,,(7.38),84.1,,(7.51)
  High school completion\1\ ,71.6,,(6.76),72.9,,(4.41),70.6,,(4.46),63.4,,(3.64),63.9,,(5.34),68.7,,(4.49),77.6,,(3.62),79.7,,(3.16),71.9,,(5.10),81.8,,(3.65),69.6,,(4.53)
"  Some college, no degree ",60.3,,(8.28),66.1,,(4.51),73.1,,(4.13),59.0,,(4.95),62.7,,(5.84),62.4,,(5.24),69.4,,(4.30),71.5,,(4.01),69.4,,(4.57),69.5,,(5.20),70.7,,(5.11)
  Associate's degree ,78.8,,(7.78),76.9,,(5.56),71.0,,(5.49),59.5,,(5.68),70.6,,(5.80),77.4,,(4.43),65.5,,(5.92),70.9,,(5.79),71.2,,(5.29),70.8,,(5.61),78.2,,(5.59)
  Bachelor's or higher degree ,69.2,,(4.06),72.4,,(2.29),69.1,,(2.05),74.1,,(1.75),70.3,,(2.20),72.6,,(1.60),72.5,,(1.92),77.3,,(1.53),76.8,,(1.74),77.7,,(1.42),77.6,,(1.80)
    Bachelor's degree ,73.1,,(5.01),73.9,,(2.77),71.9,,(2.58),76.9,,(2.04),70.0,,(2.92),75.1,,(1.98),73.8,,(2.35),76.4,,(2.15),76.0,,(2.59),79.3,,(1.67),75.9,,(2.45)
    Master's or higher degree ,63.2,,(6.76),69.3,,(4.06),64.5,,(3.23),70.1,,(3.19),70.9,,(3.50),69.0,,(2.74),71.0,,(2.91),78.5,,(2.15),77.9,,(2.40),75.6,,(2.39),79.8,,(2.38)
Two or more races\3\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Median annual earnings, all
   education levels ",---,,(†),---,,(†),"$45,430",,"(2,000)","$40,830",,"(1,610)","$41,970",,"(4,123)","$37,040",,"(1,966)","$42,790",,(745),"$44,430",,"(2,682)","$39,630",,"(1,611)","$43,160",,"(1,957)","$44,990",,"(2,915)"
  Less than high school completion ,---,,(†),---,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†)
  High school completion\1\ ,---,,(†),---,,(†),"34,320 ",,"(4,926)","34,980 ",,"(5,680)","37,180 ",,"(5,027)","29,240 ",,"(1,961)","37,530 ",,"(3,453)","34,620 ",,"(5,629)","34,820 ",,"(4,151)","37,260 ",,"(2,059)","27,870 ",,"(4,978)"
"  Some college, no degree ",---,,(†),---,,(†),"39,850 ",,"(4,225)","41,310 ",,"(4,255)","37,580 ",,"(3,378)","27,910 ",,"(2,782)","37,880 ",,"(4,476)","35,370 ",,"(3,253)","30,240 ",,"(1,912)","31,960 ",,"(1,510)","38,010 ",,"(2,852)"
  Associate's degree ,---,,(†),---,,(†),"49,770 ",,"(5,245)","32,580 ",,"(1,649)",‡,,(†),‡,,(†),"46,960 ",,"(3,147)","47,900 ",,"(6,280)","42,120 ",,"(2,354)",‡,#VALUE!,(†),‡,#VALUE!,(†)
  Bachelor's or higher degree ,---,,(†),---,,(†),"58,210 ",,"(3,997)","49,630 ",,"(5,234)","59,630 ",,"(5,222)","54,000 ",,"(5,843)","50,770 ",,"(6,788)","60,710 ",,"(9,439)","52,660 ",,"(7,324)","55,580 ",,"(3,943)","59,990 ",,"(3,357)"
    Bachelor's degree ,---,,(†),---,,(†),"51,430 ",,"(4,655)","46,240 ",,"(4,487)","52,360 ",,"(6,958)","48,910 ",,"(7,889)","43,110 ",,"(6,488)","52,790 ",,"(7,332)","51,260 ",,"(4,406)","50,900 ",,"(6,263)","58,550 ",,"(4,363)"
    Master's or higher degree ,---,,(†),---,,(†),‡,,(†),"77,160 ",,"(15,270)",‡,,(†),‡,,(†),‡,,(†),"73,540 ",,"(11,859)",‡,#VALUE!,(†),"67,000 ",,"(13,212)",‡,#VALUE!,(†)
"Percent,\2\ all education levels ",---,,(†),---,,(†),64.7,,(3.31),61.4,,(2.89),65.0,,(3.45),63.9,,(3.18),67.2,,(3.15),65.6,,(3.06),71.5,,(2.88),66.1,,(3.29),73.5,,(2.69)
  Less than high school completion ,---,,(†),---,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†)
  High school completion\1\ ,---,,(†),---,,(†),61.6,,(4.96),61.4,,(6.70),60.6,,(6.98),52.1,,(6.60),61.5,,(6.44),54.5,,(6.88),68.9,,(5.58),62.4,,(6.72),70.3,,(6.12)
"  Some college, no degree ",---,,(†),---,,(†),59.5,,(6.16),53.7,,(5.96),60.5,,(7.81),58.1,,(5.79),67.4,,(5.64),62.9,,(6.19),71.3,,(6.40),61.5,,(6.19),68.5,,(6.10)
  Associate's degree ,---,,(†),---,,(†),75.3,,(7.43),70.4,,(8.75),‡,,(†),75.8,,(7.86),70.0,,(7.58),58.8,,(8.35),76.5,,(6.76),49.8,,(9.46),77.7,,(7.60)
  Bachelor's or higher degree ,---,,(†),---,,(†),72.5,,(6.07),70.0,,(4.73),77.4,,(5.11),75.9,,(4.19),72.5,,(4.88),79.0,,(4.06),71.2,,(4.27),74.3,,(4.78),77.6,,(3.92)
    Bachelor's degree ,---,,(†),---,,(†),81.6,,(5.83),70.3,,(5.72),75.7,,(5.97),79.9,,(5.00),76.9,,(5.73),77.7,,(4.85),72.7,,(4.64),72.5,,(5.58),75.4,,(4.63)
    Master's or higher degree ,---,,(†),---,,(†),59.0,,(11.12),69.3,,(8.30),‡,,(†),66.5,,(8.81),62.5,,(9.31),81.7,,(6.66),66.6,,(10.10),78.3,,(6.75),‡,,(†)
"Median annual earnings for other 
  race groups, all education levels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pacific Islander\4\ ,[\3\],,(†),[\3\],,(†),"$40,000",,"(4,401)","$40,170",,"(1,576)","$42,800",,"(4,774)","$36,990",,"(3,802)","$42,760",,"(1,951)","$36,480",,"(1,501)","$38,820",,"(3,811)","$35,970",,"(4,129)","$36,000",,"(5,611)"
  American Indian/Alaska Native\4\ ,"33,360 ",,"(1,816)","37,100 ",,"(2,214)","38,480 ",,"(1,621)","37,220 ",,"(3,801)","32,750 ",,"(6,951)","32,330 ",,"(2,128)","32,250 ",,"(2,298)","38,250 ",,"(3,824)","37,020 ",,"(3,999)","34,380 ",,"(1,304)","36,940 ",,"(2,846)"
"Percent\2\ for other race groups, 
   all education levels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pacific Islander\4\ ,[\3\],,(†),[\3\],,(†),54.8,,(6.78),62.5,,(6.79),77.2,,(6.48),68.4,,(5.09),77.9,,(4.63),68.2,,(5.16),72.6,,(5.28),73.0,,(5.40),79.0,,(7.16)
  American Indian/Alaska Native\4\ ,48.7,,(8.11),60.5,,(4.89),62.4,,(3.94),54.3,,(4.24),60.6,,(5.26),63.8,,(3.73),61.3,,(4.62),62.2,,(4.44),70.4,,(4.02),67.4,,(4.67),70.1,,(4.76)
---Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
†Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Rounds to zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‡Reporting standards not met (too few cases for a reliable estimate). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\1\Includes equivalency credentials, such as the GED credential.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2\Full-time year-round workers as a percentage of the population ages 25 through 34 who reported working or looking for work in the given year. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\3\For 1995 and 2000, data for Asians, Pacific Islanders, and persons of Two or more races were not reported separately. Pacific Islander data are included with Asian data for 1995 and 2000 because these data were collected in a combined ""Asian/Pacific Islander"" category. Data on persons of Two or more races are unavailable for 1995 and 2000 because each respondent could choose only one race category.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\4\For Pacific Islanders and American Indians/Alaska Natives, data by educational attainment are omitted because these data for the most part did not meet reporting standards. All data shown for these two race categories are for persons of all education levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Data are based on sample surveys of the noninstitutionalized population, which excludes persons living in institutions (e.g., prisons or nursing facilities); data include military personnel who live in households with civilians, but exclude those who live in military barracks. Prior to 2004, standard errors were computed using generalized variance function methodology rather than the more precise replicate weight methodology used in later years. Caution should be used when comparing 2019 estimates to those of earlier years due to the impact that the coronavirus pandemic had on interviewing and response rates. For additional information about the impact of the coronavirus pandemic on the March CPS data collection, please see https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar20.pdf. Constant dollars based on the Consumer Price Index, prepared by the Bureau of Labor Statistics, U.S. Department of Labor. Race categories exclude persons of Hispanic ethnicity. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Commerce, Census Bureau, Current Population Survey (CPS), Annual Social and Economic Supplement, 1996 through 2020. (This table was prepared October 2020.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
